ID,3大都市圏か否か,世帯人員,就業人員,住居の所有関係,就業・非就業の別,年齢階級（5歳階級）,年齢階級（65歳未満か否か）,集計用乗率,年間収入（円）,消費支出額（合計）,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出
A1,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,216,755","541,403","55,410",897,"13,965","8,725","6,693","2,061","15,578",0,"21,878","416,193"
A2,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,362,659","122,635","25,878","1,153","12,253","2,425","16,491","8,031","28,731",0,"16,019","11,649"
A3,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,601,661","387,940","29,352",924,"13,822","2,060","9,120","5,648","23,313",0,"22,067","281,630"
A4,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,737,544","164,740","27,001","1,413","12,142","4,130","5,578","3,434","29,252",0,"17,897","63,890"
A5,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,491,853","198,961","37,167","1,190","10,702","12,547","7,708","11,680","13,447",0,"4,611","99,905"
A6,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,628,420","139,568","37,234",686,"12,447","4,460","3,662","3,243","22,205",0,"49,172","6,455"
A7,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,207,834","107,475","40,765","5,963","13,918","3,053","9,898","1,917","17,893",0,"4,368","9,695"
A8,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,448,893","129,851","31,367",990,"10,775","1,561","9,616","10,970","26,423",0,"9,211","28,935"
A9,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,1_30歳未満,1_65歳未満,538.5333333,"4,793,399","282,025","29,425",813,"14,693","5,045","4,984","3,763","56,999",0,"2,424","163,874"
A10,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,2_30〜34歳,1_65歳未満,647.1538462,"3,917,271","1,095,912","49,371",923,"14,065","4,595","1,667","6,528","938,605","27,449","36,969","15,736"
A11,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,2_30〜34歳,1_65歳未満,647.1538462,"3,909,125","286,651","43,441","6,127","19,443","7,283","19,289","2,729","145,275","2,488","8,321","32,250"
A12,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,2_30〜34歳,1_65歳未満,647.1538462,"3,907,145","297,221","34,922",810,"19,276","47,494","2,324","19,127","155,149","6,691","3,706","7,719"
A13,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,2_30〜34歳,1_65歳未満,647.1538462,"4,048,339","202,050","21,496",655,"17,686","9,555","76,447","6,400","40,125",278,"21,434","7,969"
A14,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,2_30〜34歳,1_65歳未満,647.1538462,"4,096,872","305,756","76,190","1,398","19,797","2,425","2,824","2,420","95,463","5,571","6,458","93,206"
A15,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,586,445","177,709","47,122",715,"11,652","2,523","16,237","6,452","27,966","2,013","11,215","51,809"
A16,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,445,777","137,639","29,530",247,"14,380","12,535","18,989","1,892","11,630","7,734","10,178","30,519"
A17,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,705,660","245,380","39,025",838,"16,963",881,"8,445","3,559","24,457",324,"70,033","80,851"
A18,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,643,549","97,867","33,705","3,961","14,830","4,437","3,638","5,645","3,124","1,239","10,607","16,676"
A19,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,583,656","126,934","40,779","3,899","12,977","13,318","4,824","5,043","30,418",20,"4,913","10,740"
A20,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,586,881","194,510","57,839","6,311","14,451","2,243","8,314","2,499","5,882","2,089","38,224","56,652"
A21,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,964,893","314,737","29,179","1,306","12,183","3,974","4,811","2,279","129,896","3,737","28,293","99,074"
A22,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,658,622","194,202","33,324","11,193","10,220","7,462","3,704","1,147","36,078",123,"8,235","82,711"
A23,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,531,857","128,118","31,708",655,"15,123","15,166","5,207","2,071","3,346","4,397","27,805","22,636"
A24,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,364,061","174,874","43,242","1,225","13,663","8,014","5,738","3,158","3,194",904,"15,388","80,345"
A25,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,621,847","148,901","40,207",386,"18,265","6,305","20,904","4,913",257,"6,488","10,147","41,024"
A26,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"5,124,413","145,004","30,793","28,441","10,587","12,923","10,585","1,408","24,461",627,"14,835","10,339"
A27,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,648,353","181,039","55,054","8,027","15,074","4,020","6,094","8,493","10,510","12,925","13,729","47,108"
A28,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"5,107,333","108,192","58,654","3,764","9,779","3,682","10,067","3,287","3,629",603,"10,467","4,255"
A29,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,464,841","176,277","34,264","3,561","9,472","27,182",667,"6,950","32,155",516,"37,865","23,641"
A30,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,619,798","205,342","24,130","3,095","14,205","1,559","1,967","3,208","5,169","1,843","68,748","81,415"
A31,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,978,599","137,397","31,741","10,024","11,089","31,396","2,692","8,164","12,736",476,"19,724","9,350"
A32,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,501,429","141,645","43,033","1,765","20,833","1,407","28,680","6,532","3,665",202,"10,653","24,869"
A33,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,414,928","127,464","30,985","6,221","9,705","4,857",773,"8,646","16,918",635,"13,004","35,717"
A34,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,654,604","157,118","32,553","47,552","11,138","1,165","4,560","2,909","1,048",512,"7,099","48,578"
A35,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,748,899","243,158","24,861",209,"13,815","4,743","1,720","30,792","2,554",419,"4,517","159,523"
A36,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,3_35〜39歳,1_65歳未満,531.4642857,"4,547,798","142,136","50,201","6,210","17,433",485,"1,970","8,626","33,033",58,"14,331","9,784"
