ID,世帯人員,就業人員,居住地域,住居の所有関係,就業・非就業の別,企業規模,未既婚,子ども有無,年齢階級（5歳階級）,年齢階級（65歳未満か否か）,集計用乗率,年間収入,消費支出額（合計）,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出,１ヶ月平均CM視聴率,CM視聴率の高低
C1,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,1_30歳未満,1_65歳未満,538.5333333,4216755,541403,55410,897,13965,8725,6693,2061,15578,0,21878,416193,9.9,中・低視聴率層
C2,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,1_30歳未満,1_65歳未満,538.5333333,4362659,122635,25878,1153,12253,2425,16491,8031,28731,0,16019,11649,10.5,中・低視聴率層
C3,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,1_30歳未満,1_65歳未満,538.5333333,4601661,387940,29352,924,13822,2060,9120,5648,23313,0,22067,281630,12.7,中・低視聴率層
C4,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,1_30歳未満,1_65歳未満,538.5333333,4737544,164740,27001,1413,12142,4130,5578,3434,29252,0,17897,63890,8,中・低視聴率層
C5,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,1_30歳未満,1_65歳未満,538.5333333,4491853,198961,37167,1190,10702,12547,7708,11680,13447,0,4611,99905,11.2,中・低視聴率層
C6,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,1_30歳未満,1_65歳未満,538.5333333,4628420,139568,37234,686,12447,4460,3662,3243,22205,0,49172,6455,13.9,中・低視聴率層
C7,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,1_30歳未満,1_65歳未満,538.5333333,4207834,107475,40765,5963,13918,3053,9898,1917,17893,0,4368,9695,11.1,中・低視聴率層
C8,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,1_30歳未満,1_65歳未満,538.5333333,4448893,129851,31367,990,10775,1561,9616,10970,26423,0,9211,28935,8.3,中・低視聴率層
C9,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,1_30歳未満,1_65歳未満,538.5333333,4793399,282025,29425,813,14693,5045,4984,3763,56999,0,2424,163874,7.2,中・低視聴率層
C10,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,2_30〜34歳,1_65歳未満,647.1538462,3917271,1095912,49371,923,14065,4595,1667,6528,938605,27449,36969,15736,8.4,中・低視聴率層
C11,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,2_30〜34歳,1_65歳未満,647.1538462,3909125,286651,43441,6127,19443,7283,19289,2729,145275,2488,8321,32250,8.2,中・低視聴率層
C12,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,2_30〜34歳,1_65歳未満,647.1538462,3907145,297221,34922,810,19276,47494,2324,19127,155149,6691,3706,7719,5.4,中・低視聴率層
C13,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,2_30〜34歳,1_65歳未満,647.1538462,4048339,202050,21496,655,17686,9555,76447,6400,40125,278,21434,7969,17.9,高視聴率層
C14,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,2_30〜34歳,1_65歳未満,647.1538462,4096872,305756,76190,1398,19797,2425,2824,2420,95463,5571,6458,93206,9.3,中・低視聴率層
C15,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4586445,177709,47122,715,11652,2523,16237,6452,27966,2013,11215,51809,11.9,中・低視聴率層
C16,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4445777,137639,29530,247,14380,12535,18989,1892,11630,7734,10178,30519,4.6,中・低視聴率層
C17,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4705660,245380,39025,838,16963,881,8445,3559,24457,324,70033,80851,6.8,中・低視聴率層
C18,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4643549,97867,33705,3961,14830,4437,3638,5645,3124,1239,10607,16676,5.4,中・低視聴率層
C19,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4583656,126934,40779,3899,12977,13318,4824,5043,30418,20,4913,10740,9.4,中・低視聴率層
