ID,世帯人員,就業人員,居住地域,住居の所有関係,就業・非就業の別,企業規模,未既婚,子ども有無,年齢階級（5歳階級）,年齢階級（65歳未満か否か）,集計用乗率,年間収入,消費支出額,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出,１ヶ月平均CM視聴率,CM視聴率の高低,割付（A/B）,購入意向
D1,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,1_30歳未満,1_65歳未満,538.5333333,4216755,541403,55410,897,13965,8725,6693,2061,15578,0,21878,416193,9.9,中・低視聴率層,A,2
D2,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,1_30歳未満,1_65歳未満,538.5333333,4737544,164740,27001,1413,12142,4130,5578,3434,29252,0,17897,63890,8,中・低視聴率層,A,1
D3,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,2_30〜34歳,1_65歳未満,647.1538462,4048339,202050,21496,655,17686,9555,76447,6400,40125,278,21434,7969,17.9,高視聴率層,A,1
D4,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4445777,137639,29530,247,14380,12535,18989,1892,11630,7734,10178,30519,4.6,中・低視聴率層,A,4
D5,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4621847,148901,40207,386,18265,6305,20904,4913,257,6488,10147,41024,15.5,高視聴率層,B,2
D6,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4648353,181039,55054,8027,15074,4020,6094,8493,10510,12925,13729,47108,14.6,高視聴率層,B,3
D7,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,5107333,108192,58654,3764,9779,3682,10067,3287,3629,603,10467,4255,6.9,中・低視聴率層,A,1
D8,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4501429,141645,43033,1765,20833,1407,28680,6532,3665,202,10653,24869,15,高視聴率層,A,2
D9,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4654604,157118,32553,47552,11138,1165,4560,2909,1048,512,7099,48578,16.9,高視聴率層,A,1
D10,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4836156,180531,48944,4818,8400,9126,6807,33438,29532,5638,10575,23248,10.7,中・低視聴率層,B,1
D11,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4699051,212674,43279,1645,11056,9047,46690,10142,30036,684,47738,12353,12.2,中・低視聴率層,B,1
D12,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5564433,240705,40303,23235,9461,17759,7519,32076,19067,897,32818,57564,15.5,高視聴率層,B,3
D13,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5245724,623312,58709,5129,13293,17496,519,1090,35903,282376,94634,114159,10.5,中・低視聴率層,B,5
D14,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5128416,157290,37901,286,13530,14733,5578,2145,34138,1906,12194,34874,6.6,中・低視聴率層,B,3
D15,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4970364,160473,47748,4302,11400,10570,2170,5741,34616,9915,2824,31183,15.3,高視聴率層,B,3
D16,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5304129,244730,36114,32,25410,1843,24379,2180,35358,1124,93965,24321,16.8,高視聴率層,B,5
D17,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4980330,157754,34918,508,10309,6943,2206,1355,19439,8147,27273,46651,13.1,中・低視聴率層,B,3
D18,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5036005,386037,49034,367,11605,6539,4633,10053,86915,623,154428,61834,5.8,中・低視聴率層,B,2
D19,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5176040,292113,34036,241,14039,7670,11229,9566,26864,3177,70485,114801,14.9,高視聴率層,B,5
D20,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5530235,144522,62601,158,18769,650,1306,1714,32182,698,22012,4428,17.9,高視聴率層,A,4
D21,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,4980891,243195,74753,671,19847,2607,1695,6221,22705,20545,34246,59901,3.8,中・低視聴率層,A,1
D22,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5318652,181644,50265,1370,10384,775,3151,4410,24421,64,19195,67605,4.2,中・低視聴率層,B,1
D23,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5557915,150038,59634,313,15786,4153,2565,5857,26852,3328,23581,7964,16.3,高視聴率層,B,2
D24,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5156375,259975,51188,4053,15652,2308,8249,8833,34188,26725,20845,87930,7.9,中・低視聴率層,A,3
D25,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,4994840,262749,51426,606,18316,8499,17823,5045,32921,5065,29897,93148,2.5,中・低視聴率層,B,1
D26,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5446664,202219,68354,3417,19795,4791,23673,2266,24197,1514,5390,48818,15.6,高視聴率層,B,5
D27,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5204904,172882,52646,679,16615,7922,11748,5868,18909,3466,28457,26568,15,高視聴率層,A,5
D28,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5226641,183807,74409,1987,24740,11204,9137,1592,7582,6885,26438,19829,9.3,中・低視聴率層,A,1
D29,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5430783,338657,36087,831,22779,5890,7300,13134,129410,10215,7627,105380,15.2,高視聴率層,B,4
D30,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6405479,266367,33681,3631,9800,24009,45171,3786,62634,3682,17836,62133,4.2,中・低視聴率層,B,2
D31,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6663482,403067,58995,1165,16978,5505,11560,6383,27459,1824,48321,224873,15.2,高視聴率層,B,4
D32,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6587662,224047,75266,1939,21818,32743,12664,2798,29535,284,29860,17135,16.3,高視聴率層,B,4
D33,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6755369,262067,77635,2226,19425,1638,20919,2674,25558,10,62142,49836,14.8,高視聴率層,A,4
D34,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6410111,118166,32683,526,14078,4119,4021,979,18607,156,17378,25615,15.2,高視聴率層,A,4
D35,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,5757469,215351,32913,2158,9886,11849,10231,3113,56317,17,26885,61978,9.8,中・低視聴率層,A,3
D36,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6652185,273620,43246,3576,11068,48770,18410,7056,14619,3374,42447,81050,17.1,高視聴率層,A,2
D37,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6293702,384765,92597,1176,30128,5738,23857,2993,39070,19481,34013,135707,16.2,高視聴率層,A,3
D38,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6554947,361324,66498,926,17226,9496,16905,33197,40880,1289,16215,158688,14.3,高視聴率層,B,3
D39,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6570371,376135,62303,849,17080,3324,58849,14778,143507,1321,31589,42531,7.9,中・低視聴率層,A,2
D40,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6168794,156985,54291,2449,12406,2875,3073,16922,11292,2143,16512,35017,6,中・低視聴率層,B,4
D41,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6811121,257878,79878,1664,8709,18690,21792,25622,16818,0,13023,71677,14.5,高視聴率層,B,4
D42,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,7039206,375592,52131,235,16238,4531,12459,2568,133685,0,106634,47107,13.8,中・低視聴率層,B,3
D43,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6913222,268475,55320,3203,11791,34097,558,6577,90104,0,19299,47523,9.9,中・低視聴率層,A,1
D44,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6564568,135013,40692,946,8406,3576,3232,11934,29267,0,9384,27573,14,高視聴率層,B,5
D45,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6545714,367036,46961,4348,14252,3747,59976,9121,8441,0,15738,204448,17.3,高視聴率層,A,1
D46,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,5825770,274448,62647,1066,8208,5803,2078,4662,26343,0,6527,157110,16.1,高視聴率層,A,4
