ID,従事産業,職業,企業規模,年齢階級(10歳階級）,集計用乗率,年間収入,消費支出額,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出
E1,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8511000,547512,76590,20941,24942,5049,2363,34332,91457,43875,63031,184932
E2,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8386000,319481,72055,1370,28748,5097,6055,3752,46328,1195,17576,137305
E3,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8282000,253708,67083,16945,15288,4545,1607,2941,10686,7034,39642,87937
E4,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8316000,306983,72065,1196,33848,6482,8115,2362,67450,7355,42605,65505
E5,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8068000,399056,60172,7007,27839,5994,10861,1844,29423,857,62687,192372
E6,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8180000,387596,98409,265,16523,11175,114093,9756,30879,4741,42625,59130
E7,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8292000,356326,89272,1598,23557,39955,21906,14088,17829,25584,47307,75230
E8,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8131000,242060,78025,73,9018,4675,1435,6325,10236,20298,76650,35325
E9,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8576000,295210,61991,5306,10742,4768,18685,9914,5473,3092,38300,136939
E10,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8046000,377221,158719,3911,29604,18247,7388,978,97621,255,25129,35369
E11,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8416000,552723,84986,4151,17711,4451,10213,6049,283812,1001,65589,74760
E12,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8195000,417919,124456,2575,9281,953,31438,27426,23396,13199,45977,139218
E13,2_第2次産業,2_職員,1_1〜29人,4_50〜59歳,622.2235294,8409000,567557,65624,4013,21552,9508,16819,23542,148238,25053,50188,203020
E14,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8866000,347208,88823,6566,14941,4975,7503,1808,7971,13331,45114,156176
E15,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9211000,342488,49964,15778,34970,17032,17063,1050,8676,23349,63957,110649
E16,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8821000,340597,81914,994,19916,4472,21919,3981,16358,19721,70209,101113
E17,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9031000,543084,92036,8037,25317,1466,5209,6931,80243,11174,61106,251565
